Shoulder Circles, shoulders
Arm Swings, biceps
Side Bends, abdominals
Hip circles and twists, glutes
hands behind back, middle back
Arm Across Chest, shoulders
Triceps Stretch, triceps
Glute Stretch, glutes
Adductor Stretch, quadriceps
Single Leg Hamstring, hamstrings
Standing Quadriceps, quadriceps
Standing Calf, calves
Quad Stretch, quadriceps
Bridge With Leg Reach, adductor
Seated Trunk Twist, lower back
Foldover Stretch, neck
Butterfly Stretch, thighs
Reclining Pigeon, hips
Swan Stretch, back
Twisted Arm Stretch, shoulders
Child's Pose, back
Cat Cow Stretch, abs
hamstring stretch, hamstring
Glute Stretch, glutes
neck stretching, neck
